Service Type,Year,Value
Saturday,"May 17, 2012",
Saturday Holiday,"May 17, 2012",
Special(Saturday),"May 17, 2012",
Sunday,"May 17, 2012",
Sunday Holiday,"May 17, 2012",
Weekday,"May 17, 2012",792208.0
July 4th Special,"May 18, 2012",
July 4th Special Sked,"May 18, 2012",
Saturday,"May 18, 2012",
Saturday Holiday,"May 18, 2012",
Special(Saturday),"May 18, 2012",
Sunday,"May 18, 2012",
Sunday Holiday,"May 18, 2012",
Weekday,"May 18, 2012",786196.0
July 4th Special,"May 21, 2012",
July 4th Special Sked,"May 21, 2012",
Saturday,"May 21, 2012",
Saturday Holiday,"May 21, 2012",
Special(Saturday),"May 21, 2012",
Sunday,"May 21, 2012",
Sunday Holiday,"May 21, 2012",
Weekday,"May 21, 2012",686089.0
July 4th Special,"May 22, 2012",
July 4th Special Sked,"May 22, 2012",
Saturday,"May 22, 2012",
Saturday Holiday,"May 22, 2012",
Special(Saturday),"May 22, 2012",
Sunday,"May 22, 2012",
Sunday Holiday,"May 22, 2012",
Weekday,"May 22, 2012",743853.0
July 4th Special,"May 23, 2012",
July 4th Special Sked,"May 23, 2012",
Saturday,"May 23, 2012",
Saturday Holiday,"May 23, 2012",
Special(Saturday),"May 23, 2012",
Sunday,"May 23, 2012",
Sunday Holiday,"May 23, 2012",
Weekday,"May 23, 2012",749582.0
July 4th Special,"May 24, 2012",
July 4th Special Sked,"May 24, 2012",
Saturday,"May 24, 2012",
Saturday Holiday,"May 24, 2012",
Special(Saturday),"May 24, 2012",
Sunday,"May 24, 2012",
Sunday Holiday,"May 24, 2012",
Weekday,"May 24, 2012",749160.0
July 4th Special,"May 25, 2012",
July 4th Special Sked,"May 25, 2012",
Saturday,"May 25, 2012",
Saturday Holiday,"May 25, 2012",
Special(Saturday),"May 25, 2012",
Sunday,"May 25, 2012",
Sunday Holiday,"May 25, 2012",
Weekday,"May 25, 2012",702301.0
July 4th Special,"May 28, 2012",
July 4th Special Sked,"May 28, 2012",
Saturday,"May 28, 2012",
Saturday Holiday,"May 28, 2012",
Special(Saturday),"May 28, 2012",
Sunday,"May 28, 2012",249976.0
Sunday Holiday,"May 28, 2012",
Weekday,"May 28, 2012",
July 4th Special,"May 29, 2012",
July 4th Special Sked,"May 29, 2012",
Saturday,"May 29, 2012",
Saturday Holiday,"May 29, 2012",
Special(Saturday),"May 29, 2012",
Sunday,"May 29, 2012",
Sunday Holiday,"May 29, 2012",
Weekday,"May 29, 2012",702773.0
July 4th Special,"May 30, 2012",
July 4th Special Sked,"May 30, 2012",
Saturday,"May 30, 2012",
Saturday Holiday,"May 30, 2012",
Special(Saturday),"May 30, 2012",
Sunday,"May 30, 2012",
Sunday Holiday,"May 30, 2012",
Weekday,"May 30, 2012",758979.0
July 4th Special,"May 31, 2012",
July 4th Special Sked,"May 31, 2012",
Saturday,"May 31, 2012",
Saturday Holiday,"May 31, 2012",
Special(Saturday),"May 31, 2012",
Sunday,"May 31, 2012",
Sunday Holiday,"May 31, 2012",
Weekday,"May 31, 2012",770662.0
July 4th Special,"June 1, 2012",
July 4th Special Sked,"June 1, 2012",
Saturday,"June 1, 2012",
Saturday Holiday,"June 1, 2012",
Special(Saturday),"June 1, 2012",
Sunday,"June 1, 2012",
Sunday Holiday,"June 1, 2012",
Weekday,"June 1, 2012",712979.0
July 4th Special,"June 4, 2012",
July 4th Special Sked,"June 4, 2012",
Saturday,"June 4, 2012",
Saturday Holiday,"June 4, 2012",
Special(Saturday),"June 4, 2012",
Sunday,"June 4, 2012",
Sunday Holiday,"June 4, 2012",
Weekday,"June 4, 2012",733497.0
July 4th Special,"June 5, 2012",
July 4th Special Sked,"June 5, 2012",
Saturday,"June 5, 2012",
Saturday Holiday,"June 5, 2012",
Special(Saturday),"June 5, 2012",
Sunday,"June 5, 2012",
Sunday Holiday,"June 5, 2012",
Weekday,"June 5, 2012",800136.0
July 4th Special,"June 6, 2012",
July 4th Special Sked,"June 6, 2012",
Saturday,"June 6, 2012",
Saturday Holiday,"June 6, 2012",
Special(Saturday),"June 6, 2012",
Sunday,"June 6, 2012",
Sunday Holiday,"June 6, 2012",
Weekday,"June 6, 2012",810768.0
July 4th Special,"June 7, 2012",
July 4th Special Sked,"June 7, 2012",
Saturday,"June 7, 2012",
Saturday Holiday,"June 7, 2012",
Special(Saturday),"June 7, 2012",
Sunday,"June 7, 2012",
Sunday Holiday,"June 7, 2012",
Weekday,"June 7, 2012",821995.0
July 4th Special,"June 8, 2012",
July 4th Special Sked,"June 8, 2012",
Saturday,"June 8, 2012",
Saturday Holiday,"June 8, 2012",
Special(Saturday),"June 8, 2012",
Sunday,"June 8, 2012",
Sunday Holiday,"June 8, 2012",
Weekday,"June 8, 2012",813099.0
July 4th Special,"June 11, 2012",
July 4th Special Sked,"June 11, 2012",
Saturday,"June 11, 2012",
Saturday Holiday,"June 11, 2012",
Special(Saturday),"June 11, 2012",
Sunday,"June 11, 2012",
Sunday Holiday,"June 11, 2012",
Weekday,"June 11, 2012",757382.0
July 4th Special,"June 12, 2012",
July 4th Special Sked,"June 12, 2012",
Saturday,"June 12, 2012",
Saturday Holiday,"June 12, 2012",
Special(Saturday),"June 12, 2012",
Sunday,"June 12, 2012",
Sunday Holiday,"June 12, 2012",
Weekday,"June 12, 2012",778725.0
July 4th Special,"June 13, 2012",
July 4th Special Sked,"June 13, 2012",
Saturday,"June 13, 2012",
Saturday Holiday,"June 13, 2012",
Special(Saturday),"June 13, 2012",
Sunday,"June 13, 2012",
Sunday Holiday,"June 13, 2012",
Weekday,"June 13, 2012",813917.0
July 4th Special,"June 14, 2012",
July 4th Special Sked,"June 14, 2012",
Saturday,"June 14, 2012",
Saturday Holiday,"June 14, 2012",
Special(Saturday),"June 14, 2012",
Sunday,"June 14, 2012",
Sunday Holiday,"June 14, 2012",
Weekday,"June 14, 2012",807879.0
July 4th Special,"June 15, 2012",
July 4th Special Sked,"June 15, 2012",
Saturday,"June 15, 2012",
Saturday Holiday,"June 15, 2012",
Special(Saturday),"June 15, 2012",
Sunday,"June 15, 2012",
Sunday Holiday,"June 15, 2012",
Weekday,"June 15, 2012",817503.0
July 4th Special,"June 18, 2012",
July 4th Special Sked,"June 18, 2012",
Saturday,"June 18, 2012",
Saturday Holiday,"June 18, 2012",
Special(Saturday),"June 18, 2012",
Sunday,"June 18, 2012",
Sunday Holiday,"June 18, 2012",
Weekday,"June 18, 2012",730985.0
July 4th Special,"June 19, 2012",
July 4th Special Sked,"June 19, 2012",
Saturday,"June 19, 2012",
Saturday Holiday,"June 19, 2012",
Special(Saturday),"June 19, 2012",
Sunday,"June 19, 2012",
Sunday Holiday,"June 19, 2012",
Weekday,"June 19, 2012",818772.0
July 4th Special,"June 20, 2012",
July 4th Special Sked,"June 20, 2012",
Saturday,"June 20, 2012",
Saturday Holiday,"June 20, 2012",
Special(Saturday),"June 20, 2012",
Sunday,"June 20, 2012",
Sunday Holiday,"June 20, 2012",
Weekday,"June 20, 2012",808189.0
July 4th Special,"June 21, 2012",
July 4th Special Sked,"June 21, 2012",
Saturday,"June 21, 2012",
Saturday Holiday,"June 21, 2012",
Special(Saturday),"June 21, 2012",
Sunday,"June 21, 2012",
Sunday Holiday,"June 21, 2012",
Weekday,"June 21, 2012",808090.0
July 4th Special,"June 22, 2012",
July 4th Special Sked,"June 22, 2012",
Saturday,"June 22, 2012",
Saturday Holiday,"June 22, 2012",
Special(Saturday),"June 22, 2012",
Sunday,"June 22, 2012",
Sunday Holiday,"June 22, 2012",
Weekday,"June 22, 2012",745625.0
July 4th Special,"June 25, 2012",
July 4th Special Sked,"June 25, 2012",
Saturday,"June 25, 2012",
Saturday Holiday,"June 25, 2012",
Special(Saturday),"June 25, 2012",
Sunday,"June 25, 2012",
Sunday Holiday,"June 25, 2012",
Weekday,"June 25, 2012",732924.0
July 4th Special,"June 26, 2012",
July 4th Special Sked,"June 26, 2012",
Saturday,"June 26, 2012",
Saturday Holiday,"June 26, 2012",
Special(Saturday),"June 26, 2012",
Sunday,"June 26, 2012",
Sunday Holiday,"June 26, 2012",
Weekday,"June 26, 2012",793134.0
July 4th Special,"June 27, 2012",
July 4th Special Sked,"June 27, 2012",
Saturday,"June 27, 2012",
Saturday Holiday,"June 27, 2012",
Special(Saturday),"June 27, 2012",
Sunday,"June 27, 2012",
Sunday Holiday,"June 27, 2012",
Weekday,"June 27, 2012",802296.0
July 4th Special,"June 28, 2012",
July 4th Special Sked,"June 28, 2012",
Saturday,"June 28, 2012",
Saturday Holiday,"June 28, 2012",
Special(Saturday),"June 28, 2012",
Sunday,"June 28, 2012",
Sunday Holiday,"June 28, 2012",
Weekday,"June 28, 2012",801527.0
July 4th Special,"June 29, 2012",
July 4th Special Sked,"June 29, 2012",
Saturday,"June 29, 2012",
Saturday Holiday,"June 29, 2012",
Special(Saturday),"June 29, 2012",
Sunday,"June 29, 2012",
Sunday Holiday,"June 29, 2012",
Weekday,"June 29, 2012",747658.0
July 4th Special,"July 2, 2012",
July 4th Special Sked,"July 2, 2012",
Saturday,"July 2, 2012",
Saturday Holiday,"July 2, 2012",
Special(Saturday),"July 2, 2012",
Sunday,"July 2, 2012",
Sunday Holiday,"July 2, 2012",
Weekday,"July 2, 2012",693759.0
July 4th Special,"July 3, 2012",
July 4th Special Sked,"July 3, 2012",
Saturday,"July 3, 2012",
Saturday Holiday,"July 3, 2012",
Special(Saturday),"July 3, 2012",
Sunday,"July 3, 2012",
Sunday Holiday,"July 3, 2012",
Weekday,"July 3, 2012",794266.0
July 4th Special,"July 4, 2012",
July 4th Special Sked,"July 4, 2012",504207.0
Saturday,"July 4, 2012",
Saturday Holiday,"July 4, 2012",
Special(Saturday),"July 4, 2012",
Sunday,"July 4, 2012",
Sunday Holiday,"July 4, 2012",
Weekday,"July 4, 2012",
July 4th Special,"July 5, 2012",
July 4th Special Sked,"July 5, 2012",
Saturday,"July 5, 2012",
Saturday Holiday,"July 5, 2012",
Special(Saturday),"July 5, 2012",
Sunday,"July 5, 2012",
Sunday Holiday,"July 5, 2012",
Weekday,"July 5, 2012",714297.0
July 4th Special,"July 6, 2012",
July 4th Special Sked,"July 6, 2012",
Saturday,"July 6, 2012",
Saturday Holiday,"July 6, 2012",
Special(Saturday),"July 6, 2012",
Sunday,"July 6, 2012",
Sunday Holiday,"July 6, 2012",
Weekday,"July 6, 2012",710217.0
July 4th Special,"July 9, 2012",
July 4th Special Sked,"July 9, 2012",
Saturday,"July 9, 2012",
Saturday Holiday,"July 9, 2012",
Special(Saturday),"July 9, 2012",
Sunday,"July 9, 2012",
Sunday Holiday,"July 9, 2012",
Weekday,"July 9, 2012",729141.0
July 4th Special,"July 10, 2012",
July 4th Special Sked,"July 10, 2012",
Saturday,"July 10, 2012",
Saturday Holiday,"July 10, 2012",
Special(Saturday),"July 10, 2012",
Sunday,"July 10, 2012",
Sunday Holiday,"July 10, 2012",
Weekday,"July 10, 2012",773357.0
July 4th Special,"July 11, 2012",
July 4th Special Sked,"July 11, 2012",
Saturday,"July 11, 2012",
Saturday Holiday,"July 11, 2012",
Special(Saturday),"July 11, 2012",
Sunday,"July 11, 2012",
Sunday Holiday,"July 11, 2012",
Weekday,"July 11, 2012",785551.0
July 4th Special,"July 12, 2012",
July 4th Special Sked,"July 12, 2012",
Saturday,"July 12, 2012",
Saturday Holiday,"July 12, 2012",
Special(Saturday),"July 12, 2012",
Sunday,"July 12, 2012",
Sunday Holiday,"July 12, 2012",
Weekday,"July 12, 2012",796037.0
July 4th Special,"July 13, 2012",
July 4th Special Sked,"July 13, 2012",
Saturday,"July 13, 2012",
Saturday Holiday,"July 13, 2012",
Special(Saturday),"July 13, 2012",
Sunday,"July 13, 2012",
Sunday Holiday,"July 13, 2012",
Weekday,"July 13, 2012",774097.0
July 4th Special,"July 16, 2012",
July 4th Special Sked,"July 16, 2012",
Saturday,"July 16, 2012",
Saturday Holiday,"July 16, 2012",
Special(Saturday),"July 16, 2012",
Sunday,"July 16, 2012",
Sunday Holiday,"July 16, 2012",
Weekday,"July 16, 2012",747864.0
July 4th Special,"July 17, 2012",
July 4th Special Sked,"July 17, 2012",
Saturday,"July 17, 2012",
Saturday Holiday,"July 17, 2012",
Special(Saturday),"July 17, 2012",
Sunday,"July 17, 2012",
Sunday Holiday,"July 17, 2012",
Weekday,"July 17, 2012",788776.0
July 4th Special,"July 18, 2012",
July 4th Special Sked,"July 18, 2012",
Saturday,"July 18, 2012",
Saturday Holiday,"July 18, 2012",
Special(Saturday),"July 18, 2012",
Sunday,"July 18, 2012",
Sunday Holiday,"July 18, 2012",
Weekday,"July 18, 2012",785774.0
July 4th Special,"July 19, 2012",
July 4th Special Sked,"July 19, 2012",
Saturday,"July 19, 2012",
Saturday Holiday,"July 19, 2012",
Special(Saturday),"July 19, 2012",
Sunday,"July 19, 2012",
Sunday Holiday,"July 19, 2012",
Weekday,"July 19, 2012",802908.0
July 4th Special,"July 20, 2012",
July 4th Special Sked,"July 20, 2012",
Saturday,"July 20, 2012",
Saturday Holiday,"July 20, 2012",
Special(Saturday),"July 20, 2012",
Sunday,"July 20, 2012",
Sunday Holiday,"July 20, 2012",
Weekday,"July 20, 2012",766136.0
July 4th Special,"July 23, 2012",
July 4th Special Sked,"July 23, 2012",
Saturday,"July 23, 2012",
Saturday Holiday,"July 23, 2012",
Special(Saturday),"July 23, 2012",
Sunday,"July 23, 2012",
Sunday Holiday,"July 23, 2012",
Weekday,"July 23, 2012",731232.0
July 4th Special,"July 24, 2012",
July 4th Special Sked,"July 24, 2012",
Saturday,"July 24, 2012",
Saturday Holiday,"July 24, 2012",
Special(Saturday),"July 24, 2012",
Sunday,"July 24, 2012",
Sunday Holiday,"July 24, 2012",
Weekday,"July 24, 2012",775272.0
July 4th Special,"July 25, 2012",
July 4th Special Sked,"July 25, 2012",
Saturday,"July 25, 2012",
Saturday Holiday,"July 25, 2012",
Special(Saturday),"July 25, 2012",
Sunday,"July 25, 2012",
Sunday Holiday,"July 25, 2012",
Weekday,"July 25, 2012",800092.0
July 4th Special,"July 26, 2012",
July 4th Special Sked,"July 26, 2012",
Saturday,"July 26, 2012",
Saturday Holiday,"July 26, 2012",
Special(Saturday),"July 26, 2012",
Sunday,"July 26, 2012",
Sunday Holiday,"July 26, 2012",
Weekday,"July 26, 2012",782551.0
July 4th Special,"July 27, 2012",
July 4th Special Sked,"July 27, 2012",
Saturday,"July 27, 2012",
Saturday Holiday,"July 27, 2012",
Special(Saturday),"July 27, 2012",
Sunday,"July 27, 2012",
Sunday Holiday,"July 27, 2012",
Weekday,"July 27, 2012",749721.0
July 4th Special,"July 30, 2012",
July 4th Special Sked,"July 30, 2012",
Saturday,"July 30, 2012",
Saturday Holiday,"July 30, 2012",
Special(Saturday),"July 30, 2012",
Sunday,"July 30, 2012",
Sunday Holiday,"July 30, 2012",
Weekday,"July 30, 2012",696861.0
July 4th Special,"July 31, 2012",
July 4th Special Sked,"July 31, 2012",
Saturday,"July 31, 2012",
Saturday Holiday,"July 31, 2012",
Special(Saturday),"July 31, 2012",
Sunday,"July 31, 2012",
Sunday Holiday,"July 31, 2012",
Weekday,"July 31, 2012",759624.0
July 4th Special,"August 1, 2012",
July 4th Special Sked,"August 1, 2012",
Saturday,"August 1, 2012",
Saturday Holiday,"August 1, 2012",
Special(Saturday),"August 1, 2012",
Sunday,"August 1, 2012",
Sunday Holiday,"August 1, 2012",
Weekday,"August 1, 2012",768738.0
July 4th Special,"August 2, 2012",
July 4th Special Sked,"August 2, 2012",
Saturday,"August 2, 2012",
Saturday Holiday,"August 2, 2012",
Special(Saturday),"August 2, 2012",
Sunday,"August 2, 2012",
Sunday Holiday,"August 2, 2012",
Weekday,"August 2, 2012",776187.0
July 4th Special,"August 3, 2012",
July 4th Special Sked,"August 3, 2012",
Saturday,"August 3, 2012",
Saturday Holiday,"August 3, 2012",
Special(Saturday),"August 3, 2012",
Sunday,"August 3, 2012",
Sunday Holiday,"August 3, 2012",
Weekday,"August 3, 2012",744695.0
July 4th Special,"August 6, 2012",
July 4th Special Sked,"August 6, 2012",
Saturday,"August 6, 2012",
Saturday Holiday,"August 6, 2012",
Special(Saturday),"August 6, 2012",
Sunday,"August 6, 2012",
Sunday Holiday,"August 6, 2012",
Weekday,"August 6, 2012",673691.0
July 4th Special,"August 7, 2012",
July 4th Special Sked,"August 7, 2012",
Saturday,"August 7, 2012",
Saturday Holiday,"August 7, 2012",
Special(Saturday),"August 7, 2012",
Sunday,"August 7, 2012",
Sunday Holiday,"August 7, 2012",
Weekday,"August 7, 2012",721676.0
July 4th Special,"August 8, 2012",
July 4th Special Sked,"August 8, 2012",
Saturday,"August 8, 2012",
Saturday Holiday,"August 8, 2012",
Special(Saturday),"August 8, 2012",
Sunday,"August 8, 2012",
Sunday Holiday,"August 8, 2012",
Weekday,"August 8, 2012",724191.0
July 4th Special,"August 9, 2012",
July 4th Special Sked,"August 9, 2012",
Saturday,"August 9, 2012",
Saturday Holiday,"August 9, 2012",
Special(Saturday),"August 9, 2012",
Sunday,"August 9, 2012",
Sunday Holiday,"August 9, 2012",
Weekday,"August 9, 2012",716054.0
July 4th Special,"August 10, 2012",
July 4th Special Sked,"August 10, 2012",
Saturday,"August 10, 2012",
Saturday Holiday,"August 10, 2012",
Special(Saturday),"August 10, 2012",
Sunday,"August 10, 2012",
Sunday Holiday,"August 10, 2012",
Weekday,"August 10, 2012",670452.0
July 4th Special,"August 13, 2012",
July 4th Special Sked,"August 13, 2012",
Saturday,"August 13, 2012",
Saturday Holiday,"August 13, 2012",
Special(Saturday),"August 13, 2012",
Sunday,"August 13, 2012",
Sunday Holiday,"August 13, 2012",
Weekday,"August 13, 2012",657099.0
July 4th Special,"August 14, 2012",
July 4th Special Sked,"August 14, 2012",
Saturday,"August 14, 2012",
Saturday Holiday,"August 14, 2012",
Special(Saturday),"August 14, 2012",
Sunday,"August 14, 2012",
Sunday Holiday,"August 14, 2012",
Weekday,"August 14, 2012",691605.0
July 4th Special,"August 15, 2012",
July 4th Special Sked,"August 15, 2012",
Saturday,"August 15, 2012",
Saturday Holiday,"August 15, 2012",
Special(Saturday),"August 15, 2012",
Sunday,"August 15, 2012",
Sunday Holiday,"August 15, 2012",
Weekday,"August 15, 2012",707106.0
July 4th Special,"August 16, 2012",
July 4th Special Sked,"August 16, 2012",
Saturday,"August 16, 2012",
Saturday Holiday,"August 16, 2012",
Special(Saturday),"August 16, 2012",
Sunday,"August 16, 2012",
Sunday Holiday,"August 16, 2012",
Weekday,"August 16, 2012",705431.0
July 4th Special,"August 17, 2012",
July 4th Special Sked,"August 17, 2012",
Saturday,"August 17, 2012",
Saturday Holiday,"August 17, 2012",
Special(Saturday),"August 17, 2012",
Sunday,"August 17, 2012",
Sunday Holiday,"August 17, 2012",
Weekday,"August 17, 2012",708878.0
July 4th Special,"August 20, 2012",
July 4th Special Sked,"August 20, 2012",
Saturday,"August 20, 2012",
Saturday Holiday,"August 20, 2012",
Special(Saturday),"August 20, 2012",
Sunday,"August 20, 2012",
Sunday Holiday,"August 20, 2012",
Weekday,"August 20, 2012",653751.0
July 4th Special,"August 21, 2012",
July 4th Special Sked,"August 21, 2012",
Saturday,"August 21, 2012",
Saturday Holiday,"August 21, 2012",
Special(Saturday),"August 21, 2012",
Sunday,"August 21, 2012",
Sunday Holiday,"August 21, 2012",
Weekday,"August 21, 2012",711777.0
July 4th Special,"August 22, 2012",
July 4th Special Sked,"August 22, 2012",
Saturday,"August 22, 2012",
Saturday Holiday,"August 22, 2012",
Special(Saturday),"August 22, 2012",
Sunday,"August 22, 2012",
Sunday Holiday,"August 22, 2012",
Weekday,"August 22, 2012",719816.0
July 4th Special,"August 23, 2012",
July 4th Special Sked,"August 23, 2012",
Saturday,"August 23, 2012",
Saturday Holiday,"August 23, 2012",
Special(Saturday),"August 23, 2012",
Sunday,"August 23, 2012",
Sunday Holiday,"August 23, 2012",
Weekday,"August 23, 2012",701914.0
July 4th Special,"August 24, 2012",
July 4th Special Sked,"August 24, 2012",
Saturday,"August 24, 2012",
Saturday Holiday,"August 24, 2012",
Special(Saturday),"August 24, 2012",
Sunday,"August 24, 2012",
Sunday Holiday,"August 24, 2012",
Weekday,"August 24, 2012",668235.0
July 4th Special,"August 27, 2012",
July 4th Special Sked,"August 27, 2012",
